full_name,email_address,inspector_role,is_inspector,assigned_region
Bret Finnegan,bfinnegan@mavenanalytics.io,Inspector,1,1
Dillon Krueger,dkrueger@mavenanalytics.io,Inspector,1,2
Kathy Meza,kmeza@mavenanalytics.io,Inspector,1,3
Jake Kay,jkay@mavenanalytics.io,Inspector,1,4
Benny Blanco,bblanco@mavenanalytics.io,Inspector,1,5
David Schmitt,dschmitt@mavenanalytics.io,Lead Inspector,1,6
Jenna Stubbs,jstubbs@mavenanalytics.io,Inspector,1,7
Rahul Riggs,rriggs@mavenanalytics.io,Inspector,1,8
Dirk Gently,dgently@mavenanalytics.io,Inspector,1,9
Susie Salt,ssalt@mavenanalytics.io,Inspector,1,10
Sarah Murphy,smurphy@mavenanalytics.io,Inspector,1,11
Adam Juan,ajuan@mavenanalytics.io,Inspector,1,12
Mark Tyson,mtyson@mavenanalytics.io,Inspector,1,13
Aden Holt,aholt@mavenanalytics.io,Inspector,1,14
Lauren Burns,lburns@mavenanalytics.io,Inspector,1,15
Jean LeBean ,jlebean@mavenanalytics.io,Inspector,1,16
Samantha Cook,scook@mavenanalytics.io,Chief Inspector,0,0
